RedCloth, 4.2.9, MIT
bundler, 1.3.5, MIT
classifier, 1.3.3, LGPL
colorator, 0.1, MIT
commander, 4.1.5, MIT
directory_watcher, 1.4.1, MIT
fast-stemmer, 1.0.2, MIT
github-pages, 8, MIT
highline, 1.6.20, Ruby
httparty, 0.11.0, MIT
jekyll, 1.2.0, MIT
kramdown, 1.0.2, MIT
license_finder, 0.9.4, MIT
liquid, 2.5.1, MIT
maruku, 0.6.1, GPL-2
multi_json, 1.8.4, MIT
multi_xml, 0.5.5, MIT
posix-spawn, 0.3.6, https://github.com/rtomayko/posix-spawn/blob/master/COPYING
pygments.rb, 0.5.2, MIT
rake, 10.1.1, MIT
rdiscount, 1.6.8, BSD
redcarpet, 2.2.2, ISC
safe_yaml, 0.7.1, MIT
sequel, 4.6.0, MIT
sqlite3, 1.3.8, MIT
syntax, 1.0.0, BSD
thor, 0.18.1, MIT
yajl-ruby, 1.1.0, MIT
